item,sentence,penalized_logprob
1F.01,There might mice seem to be in the cupboard.,-20.22465038982079
1F.02,Mike prefers tennis because Jon baseball.,-37.818512004855315
1F.03,Jenny cleaned her sister the table.,-19.737210756829953
2F.01,There had all hung over the fireplace the portraits by Picasso.,-14.697640428565348
2F.02,Lily will dance who the king chooses.,-22.18705636004273
3F.01,The specimen thawed to study it more closely.,-5.733414946328313
3F.02,With that announcement were many citizens denied the opportunity to protest.,-19.43212998357221
4F.01,There is likely a river to run down the mountain.,-8.770089055298227
4F.02,"Richard may have been hiding, but Blake may have done so too.",-11.293628683446018
5F.01,The ball perfectly rolled down the hill.,-7.992483467024102
5F.02,Lloyd Webber musicals are easy to condemn without even watching,-15.785311408207102
6F.01,There are firemen injured.,-12.016077006744505
6F.02,Someone better sing the national anthem.,-6.056938819094032
7F.01,It seems to me that Robert can't be trusted.,-4.62340075591371
7F.02,Laura is more excited than nervous.,-9.174273640099457
7F.03,I hate eating sushi.,-4.312637726012074
D.adjBecause.isl.lg.01,Which briefcase did you worry because the lawyer forgot at the office?,-23.161759478317684
D.adjBecause.isl.lg.02,Which painting did you laugh because the heiress bought at the auction?,-21.053813722601753
D.adjBecause.isl.lg.03,Which note did you sigh because the bride and groom neglected to send promptly?,-20.344556104870307
D.adjBecause.isl.lg.04,Which drawing did you blush because the child prodigy submitted to the art contest?,-21.039138913271273
D.adjBecause.isl.lg.05,Which window did you sneeze because the dog owner left open at night?,-13.419449327028591
D.adjBecause.isl.lg.06,Which painting did you cough because the tourists photographed in the exhibit?,-30.09723451083422
D.adjBecause.isl.lg.07,Which snack did you wink because the sweethearts shared at the movies?,-24.929839284131845
D.adjBecause.isl.lg.08,Which lines did you faint because the actors forgot on stage?,-16.474821200067524
D.adjBecause.isl.sh.01,Which secretary worried because the lawyer forgot his briefcase at the office?,-18.090866561168436
D.adjBecause.isl.sh.02,Which auctioneer laughed because the heiress bought a painting at the auction?,-13.40138668170257
D.adjBecause.isl.sh.03,Which guest sighed because the bride and groom neglected to send a thank you note promptly?,-14.216831843959742
D.adjBecause.isl.sh.04,Which teacher blushed because the child prodigy submitted a drawing to the art contest?,-20.241289312926053
D.adjBecause.isl.sh.05,Which resident sneezed because the dog owner left a window open at night?,-10.742649930316366
D.adjBecause.isl.sh.06,Which guard coughed because the tourists photographed the priceless painting in the exhibit?,-24.110413876583145
D.adjBecause.isl.sh.07,Which usher winked because the sweethearts shared popcorn at the movies?,-20.90628537753975
D.adjBecause.isl.sh.08,Which director fainted because the actors forgot their lines on stage?,-9.01914441062586
D.adjBecause.non.lg.01,Which briefcase did you think that the lawyer forgot at the office?,-16.490066193830426
D.adjBecause.non.lg.02,Which painting did you wish that the heiress bought at the auction?,-14.740546963301737
D.adjBecause.non.lg.03,Which note did you suspect that the bride and groom neglected to send promptly?,-16.91641941287561
D.adjBecause.non.lg.04,Which drawing did you think that the child prodigy  submitted to the art contest?,-12.5992493339052
D.adjBecause.non.lg.05,Which window did you hope that the dog owner left open at night?,-15.554807372912748
D.adjBecause.non.lg.06,Which painting did you complain that the tourists photographed in the exhibit?,-24.568634754352832
D.adjBecause.non.lg.07,Which snack did you claim that the sweethearts shared at the movies?,-19.78430031205619
D.adjBecause.non.lg.08,Which lines did you believe that the actors forgot on stage?,-12.109175537599993
D.adjBecause.non.sh.01,Which secretary thought that the lawyer forgot his briefcase at the office?,-15.222436139932674
D.adjBecause.non.sh.02,Which auctioneer wished that the heiress bought a painting at the auction?,-14.120811873601749
D.adjBecause.non.sh.03,Which guest suspected that the bride and groom neglected to send a thank you note promptly?,-13.084889938632715
D.adjBecause.non.sh.04,Which teacher thought that the child prodigy submitted a drawing to the art contest?,-16.81410801491882
D.adjBecause.non.sh.05,Which resident hoped that the dog owner left a window open at night?,-15.274294497387666
D.adjBecause.non.sh.06,Which guard complained that the tourists photographed the priceless painting in the exhibit?,-23.586353183835236
D.adjBecause.non.sh.07,Which usher claimed that the sweethearts shared popcorn at the movies?,-21.00289809432388
D.adjBecause.non.sh.08,Which director believed that the actors forgot their lines on stage?,-9.775920938806367
DLG.adjBecause.isl.lg.01,I found out which briefcase you worried because the lawyer forgot at the office.,-23.179646960540417
DLG.adjBecause.isl.lg.02,I found out which painting you laughed because the heiress bought at the auction.,-21.63837583470119
DLG.adjBecause.isl.lg.03,I found out which note you sighed because the bride and groom neglected to send promptly.,-23.678193323525864
DLG.adjBecause.isl.lg.04,I found out which drawing you blushed because the child prodigy submitted to the art contest.,-22.247516358369282
DLG.adjBecause.isl.lg.05,I know which window you sneezed because the dog owner left open at night.,-14.506516569646172
DLG.adjBecause.isl.lg.06,I know which painting you coughed because the tourists photographed in the exhibit.,-28.615200161219423
DLG.adjBecause.isl.lg.07,I know which snack you winked because the sweethearts shared at the movies.,-25.768891054228284
DLG.adjBecause.isl.lg.08,I know which lines you fainted because the actors forgot on stage.,-15.31715008805108
DLG.adjBecause.isl.sh.01,I found out which secretary worried because the lawyer forgot his briefcase at the office.,-17.850994413308303
DLG.adjBecause.isl.sh.02,I found out which auctioneer laughed because the heiress bought a painting at the auction.,-17.817994709626177
DLG.adjBecause.isl.sh.03,I found out which guest sighed because the bride and groom neglected to send a thank you note promptly.,-15.340296815333469
DLG.adjBecause.isl.sh.04,I found out which teacher blushed because the child prodigy submitted a drawing to the art contest.,-18.915992518598745
DLG.adjBecause.isl.sh.05,I know which resident sneezed because the dog owner left a window open at night.,-15.322301024000781
DLG.adjBecause.isl.sh.06,I know which guard coughed because the tourists photographed the priceless painting in the exhibit.,-25.24616467961262
DLG.adjBecause.isl.sh.07,I know which usher winked because the sweethearts shared popcorn at the movies.,-23.99190026680932
DLG.adjBecause.isl.sh.08,I know which director fainted because the actors forgot their lines on stage.,-10.457406510431193
DLG.adjBecause.non.lg.01,I found out which briefcase you thought that the lawyer forgot at the office.,-14.95398003706704
DLG.adjBecause.non.lg.02,I found out which painting you wished that the heiress bought at the auction.,-13.0733237449703
DLG.adjBecause.non.lg.03,I found out which note you suspected that the bride and groom neglected to send promptly.,-16.760694667015557
DLG.adjBecause.non.lg.04,I found out which drawing you thought that the child prodigy  submitted to the art contest.,-13.948870914257464
DLG.adjBecause.non.lg.05,I know which window you hoped that the dog owner left open at night.,-18.157114026975037
DLG.adjBecause.non.lg.06,I know which painting you complained that the tourists photographed in the exhibit.,-25.366427676243514
DLG.adjBecause.non.lg.07,I know which snack you claimed that the sweethearts shared at the movies.,-20.002163569299423
DLG.adjBecause.non.lg.08,I know which lines you believed that the actors forgot on stage.,-12.64152618295863
DLG.adjBecause.non.sh.01,I found out which secretary thought that the lawyer forgot his briefcase at the office.,-14.32407501382325
DLG.adjBecause.non.sh.02,I found out which auctioneer wished that the heiress bought a painting at the auction.,-15.92243222493293
DLG.adjBecause.non.sh.03,I found out which guest suspected that the bride and groom neglected to send a thank you note promptly.,-15.762379726426952
DLG.adjBecause.non.sh.04,I found out which teacher thought that the child prodigy submitted a drawing to the art contest.,-15.888739492991645
DLG.adjBecause.non.sh.05,I know which resident hoped that the dog owner left a window open at night.,-19.606286796137603
DLG.adjBecause.non.sh.06,I know which guard complained that the tourists photographed the priceless painting in the exhibit.,-22.36569040450062
DLG.adjBecause.non.sh.07,I know which usher claimed that the sweethearts shared popcorn at the movies.,-21.079774455820775
DLG.adjBecause.non.sh.08,I know which director believed that the actors forgot their lines on stage.,-13.700308360972487
DLG.np.isl.lg.01,I found out which pie you heard the rumor that Jeff baked.,-17.73988804000029
DLG.np.isl.lg.02,I found out which cookie you denied the fact that Laura ate.,-22.88178192788141
DLG.np.isl.lg.03,I found out which match you made the announcement that Andrew won.,-19.2763971074002
DLG.np.isl.lg.04,I found out which game you made the announcement that Jane lost.,-18.03585793549723
DLG.np.isl.lg.05,I know which pizza you made the claim that Amy stole.,-21.38058198059545
DLG.np.isl.lg.06,I know which award you heard the rumor that Ralph received.,-16.13756022768373
DLG.np.isl.lg.07,I know which car you denied the fact that Jared could afford.,-16.74958001485978
DLG.np.isl.lg.08,I know which club you made the claim that Elizabeth joined.,-15.267247498190354
DLG.np.isl.sh.01,I found out which chef heard the rumor that Jeff baked a pie.,-15.351766324501314
DLG.np.isl.sh.02,I found out which parent denied the fact that Laura ate the cookie.,-17.93589551328726
DLG.np.isl.sh.03,I found out which referee made the announcement that Andrew won the match.,-14.586132721990069
DLG.np.isl.sh.04,I found out which coach made the announcement that Jane lost the game?,-20.27029274570626
DLG.np.isl.sh.05,I know which witness made the claim that Amy stole the pizza.,-14.746434003465842
DLG.np.isl.sh.06,I know which finalist heard the rumor that Ralph received the award.,-19.430706118435452
DLG.np.isl.sh.07,I know which salesman denied the fact that Jared could afford the car.,-23.5410761764688
DLG.np.isl.sh.08,I know which teacher made the claim that Elizabeth joined the club.,-16.13208838326273
DLG.np.non.lg.01,I found out which pie you heard that Jeff baked.,-20.289783469117026
DLG.np.non.lg.02,I found out which cookie you denied that Laura ate.,-20.014519643063842
DLG.np.non.lg.03,I found out which match you announced that Andrew won.,-17.197339649553403
DLG.np.non.lg.04,I found out which game you announced that Jane lost.,-18.37927195448233
DLG.np.non.lg.05,I know which pizza you claimed that Amy stole.,-20.480211240203943
DLG.np.non.lg.06,I know which award you heard that Ralph received.,-17.13702307327879
DLG.np.non.lg.07,I know which car you denied that Jared could afford.,-19.71031776284592
DLG.np.non.lg.08,I know which club you claimed that Elizabeth joined.,-15.850467223165246
DLG.np.non.sh.01,I found out which chef heard that Jeff baked a pie.,-17.487798745170867
DLG.np.non.sh.02,I found out which parent denied that Laura ate the cookie.,-16.000935539440707
DLG.np.non.sh.03,I found out which referee announced that Andrew won the match.,-14.355204643350648
DLG.np.non.sh.04,I found out which coach announced that Jane lost the game.,-20.006428187156853
DLG.np.non.sh.05,I know which witness claimed that Amy stole the pizza.,-19.918107196512643
DLG.np.non.sh.06,I know which finalist heard that Ralph received the award.,-21.88125689776498
DLG.np.non.sh.07,I know which salesman denied that Jared could afford the car.,-23.67607163812571
DLG.np.non.sh.08,I know which teacher claimed that Elizabeth joined the club.,-17.894883916047228
DLG.sub.isl.lg.01,I found out which lobbyist the reporter thinks the gift from prompted the congressional hearing.,-21.390486984360862
DLG.sub.isl.lg.02,I found out which politician the retiree thinks the speech by interrupted the primetime TV show.,-26.559819087204268
DLG.sub.isl.lg.03,I found out which millionaire the publicist thinks the meeting with delayed the campaign fundraiser.,-25.99293734802055
DLG.sub.isl.lg.04,I found out which director the critic thinks the documentary by preceded the popular movie.,-23.705092159238507
DLG.sub.isl.lg.05,I know which priest the reporter thinks the email from criticized the tasteless joke.,-22.28065635139217
DLG.sub.isl.lg.06,I know which bride the bridesmaid thinks the picture of accompanied the wedding invitation.,-15.168044933134372
DLG.sub.isl.lg.07,I know which scientist the scientist thinks the new invention by deserves the Nobel Prize.,-16.56824453959367
DLG.sub.isl.lg.08,I know which judge the historian thinks the verdict from started the civil rights debate.,-19.426984065413315
DLG.sub.isl.sh.01,I found out which reporter thinks the gift from the lobbyist prompted the congressional hearing.,-19.843544202537778
DLG.sub.isl.sh.02,I found out which retiree thinks the speech by the president interrupted the primetime TV show.,-16.77441495109338
DLG.sub.isl.sh.03,I found out which publicist thinks the meeting with the millionaire delayed the campaign fundraiser.,-24.3826615099958
DLG.sub.isl.sh.04,I found out which critic thinks the documentary by the famous historian preceded the popular movie.,-20.33821483032766
DLG.sub.isl.sh.05,I know which reporter thinks the email from the priest criticized the tasteless joke.,-23.265945393030492
DLG.sub.isl.sh.06,I know which bridesmaid thinks the picture of the bride accompanied the wedding invitation.,-12.044826031235479
DLG.sub.isl.sh.07,I know which doctor thinks the new invention by scientist deserves the Nobel Prize.,-17.313083151806875
DLG.sub.isl.sh.08,I know which historian thinks the verdict from the judge started the civil rights debate.,-17.600688185014118
DLG.sub.non.lg.01,I found out which gift the reporter thinks prompted the congressional hearing.,-18.555825766037497
DLG.sub.non.lg.02,I found out which speech the retiree thinks interrupted the primetime TV show.,-22.997392385076388
DLG.sub.non.lg.03,I found out which meeting the publicist thinks delayed the campaign fundraiser.,-28.684585951566444
DLG.sub.non.lg.04,I found out which documentary the critic thinks preceded the popular movie.,-21.34247822926053
DLG.sub.non.lg.05,I know which email the reporter thinks criticized the tasteless joke.,-20.05192032561609
DLG.sub.non.lg.06,I know which picture the bridesmaid thinks accompanied the wedding invitation.,-13.614285859775865
DLG.sub.non.lg.07,I know which invention the scientist thinks deserves the Nobel Prize.,-8.921711488682988
DLG.sub.non.lg.08,I know which verdict the historian thinks started the civil rights debate.,-15.261401944640957
DLG.sub.non.sh.01,I found out which reporter thinks the gift prompted the congressional hearing.,-18.03593811479165
DLG.sub.non.sh.02,I found out which retiree thinks the speech interrupted the primetime TV show.,-22.739175179970445
DLG.sub.non.sh.03,I found out which publicist thinks the meeting delayed the campaign fundraiser.,-25.409940487378687
DLG.sub.non.sh.04,I found out which critic thinks the documentary preceded the popular movie.,-18.22219073043681
DLG.sub.non.sh.05,I know which reporter thinks the email criticized the tasteless joke.,-25.597210458342232
DLG.sub.non.sh.06,I know which bridesmaid thinks the picture accompanied the wedding invitation.,-14.517152924701264
DLG.sub.non.sh.07,I know which doctor thinks the new invention deserves the Nobel Prize.,-15.234715629925429
DLG.sub.non.sh.08,I know which historian thinks the verdict started the civil rights debate.,-16.65389380980657
DLG.whe.isl.lg.01,I found out which necklace the detective wonders whether Paul stole.,-22.018945258549675
DLG.whe.isl.lg.02,I found out which bus the police officer wonders whether Matt chased.,-26.38073013143151
DLG.whe.isl.lg.03,I found out which television the manager wonders whether Tom sold.,-33.348984939937864
DLG.whe.isl.lg.04,I found out which letter the soldier wonders whether Stacey wrote.,-23.35135251979213
DLG.whe.isl.lg.05,I know which house the agent wonders whether Aaron bought.,-17.36357960296326
DLG.whe.isl.lg.06,I know which book the teacher wonders whether George read.,-17.759460134197205
DLG.whe.isl.lg.07,I know which movie the girl wonders whether Heather saw.,-21.546772122038902
DLG.whe.isl.lg.08,I know which cake the guest wonders whether Casey baked.,-25.021766129279374
DLG.whe.isl.sh.01,I found out which detective wonders whether Paul stole the necklace.,-23.258330672788606
DLG.whe.isl.sh.02,I found out which police officer wonders whether Matt chased the bus.,-26.31356258603805
DLG.whe.isl.sh.03,I found out which manager wonders whether Tom sold the television.,-30.743587723778543
DLG.whe.isl.sh.04,I found out which soldier wonders whether Stacey wrote the letter.,-28.248569283319895
DLG.whe.isl.sh.05,I know which agent wonders whether Aaron bought the house.,-22.84153718227569
DLG.whe.isl.sh.06,I know which teacher wonders whether George read the book.,-22.147992491743434
DLG.whe.isl.sh.07,I know which girl wonders whether Heather saw the movie.,-22.360886622417
DLG.whe.isl.sh.08,I know which guest wonders whether Casey baked the cake.,-24.93524774000907
DLG.whe.non.lg.01,I found out which necklace the detective thinks that Paul stole.,-16.044916689413796
DLG.whe.non.lg.02,I found out which bus the police officer thinks that Matt chased.,-20.871690728157652
DLG.whe.non.lg.03,I found out which television the manager thinks that Tom sold.,-26.271436433384963
DLG.whe.non.lg.04,I found out which letter the soldier thinks that Stacey wrote.,-17.197772301321383
DLG.whe.non.lg.05,I know which house the agent thinks that Aaron bought.,-11.750788713183105
DLG.whe.non.lg.06,I know which book the teacher thinks that George read.,-11.68606332630395
DLG.whe.non.lg.07,I know which movie the girl thinks that Heather saw.,-16.641646250892492
DLG.whe.non.lg.08,I know which cake the guest thinks that Casey baked.,-18.21504761699559
DLG.whe.non.sh.01,I found out which detective thinks that Paul stole the necklace.,-16.82068090755814
DLG.whe.non.sh.02,I found out which police officer thinks that Matt chased the bus.,-19.082056860967114
DLG.whe.non.sh.03,I found out which manager thinks that Tom sold the television.,-22.622662805241507
DLG.whe.non.sh.04,I found out which soldier thinks that Stacey wrote the letter.,-20.118338182351874
DLG.whe.non.sh.05,I know which agent thinks that Aaron bought the house.,-16.740122022576717
DLG.whe.non.sh.06,I know which teacher thinks that George read the book.,-17.824965976103293
DLG.whe.non.sh.07,I know which girl thinks that Heather saw the movie.,-16.660884992348624
DLG.whe.non.sh.08,I know which guest thinks that Casey baked the cake.,-19.076298059655553
D.np.isl.lg.01,Which pie did the chef hear the rumor that Jeff baked?,-15.217443198358652
D.np.isl.lg.02,Which cookie did the parent deny the fact that Laura ate?,-19.320400262074145
D.np.isl.lg.03,Which match did the referee make the announcement that Andrew won?,-11.618658303193763
D.np.isl.lg.04,Which game did the coach make the announcement that Jane lost?,-14.460295344381915
D.np.isl.lg.05,Which pizza did the witness make the claim that Amy stole?,-17.757422727415968
D.np.isl.lg.06,Which award did the finalist hear the rumor that Ralph received?,-18.82195564706749
D.np.isl.lg.07,Which car did the salesman deny the fact that Jared could afford?,-13.424070583875919
D.np.isl.lg.08,Which club did the teacher make the claim that Elizabeth joined?,-15.816606363629994
D.np.isl.sh.01,Which chef heard the rumor that Jeff baked a pie?,-15.414665825158421
D.np.isl.sh.02,Which parent denied the fact that Lauraate the cookie?,-31.905324788256582
D.np.isl.sh.03,Which referee made the announcement that Andrew won the match?,-11.487686897101987
D.np.isl.sh.04,Which coach made the announcement that Jane lost the game?,-14.349710741032744
D.np.isl.sh.05,Which witness made the claim that Amy stole the pizza?,-13.445824076152325
D.np.isl.sh.06,Which finalist heard the rumor that Ralph received the award?,-15.0630869940958
D.np.isl.sh.07,Which salesman denied the fact that Jared could afford the car?,-20.630359132347888
D.np.isl.sh.08,Which teacher made the claim that Elizabeth joined the club?,-14.506016082386875
D.np.non.lg.01,Which pie did the chef hear that Jeff baked?,-14.744591158045326
D.np.non.lg.02,Which cookie did the parent deny that Laura ate? ,-20.89731902219776
D.np.non.lg.03,Which match did the referee announce that Andrew won?,-12.34964476348772
D.np.non.lg.04,Which game did the coach announce that Jane lost?,-16.34094076568339
D.np.non.lg.05,Which pizza did the witness claim that Amy stole?,-18.4904483122208
D.np.non.lg.06,Which award did the finalist hear that Ralph received?,-17.378648434399185
D.np.non.lg.07,Which car did the salesman deny that Jared could afford?,-14.822246359757782
D.np.non.lg.08,Which club did the teacher claim that Elizabeth joined?,-13.36890933062131
D.np.non.sh.01,Which chef heard that Jeff baked a pie?,-16.425897422533275
D.np.non.sh.02,Which parent denied that Laura ate the cookie?,-14.34116908500709
D.np.non.sh.03,Which referee announced that Andrew won the match?,-18.172875067459717
D.np.non.sh.04,Which coach announced that Jane lost the game?,-20.217887241456342
D.np.non.sh.05,Which witness claimed that Amy stole the pizza?,-17.496242557604205
D.np.non.sh.06,Which finalist heard that Ralph received the award?,-18.720775018671407
D.np.non.sh.07,Which salesman denied that Jared could afford the car?,-22.653682746689473
D.np.non.sh.08,Which teacher claimed that Elizabeth joined the club?,-16.344568821488682
D.sub.isl.lg.01,Which lobbyist does the reporter think the gift from prompted the congressional hearing?,-16.37106464423696
D.sub.isl.lg.02,Which politician does the retiree think the speech by interrupted the primetime TV show?,-24.772920516181834
D.sub.isl.lg.03,Which millionaire does the publicist think the meeting with delayed the campaign fundraiser?,-28.364026917221267
D.sub.isl.lg.04,Which director does the critic think the documentary by preceded the popular movie?,-20.727987508683864
D.sub.isl.lg.05,Which priest does the reporter think the email from criticized the tasteless joke?,-21.34102665893386
D.sub.isl.lg.06,Which bride does the bridesmaid think the picture of accompanied the wedding invitation?,-12.559441873502523
